,nBalls,meanGap,nBins,batchPercentage,std
0,100,1.1850000000000003,1000,0.01,0.4525472295516506
1,1000,2.015,1000,0.01,0.12185748327926268
2,10000,2.425,1000,0.01,0.5056216632341403
3,100000,4.69,1000,0.01,0.8044474366867981
4,1000000,16.35,1000,0.01,2.083073685662487
5,100,1.3200000000000003,1000,0.05,0.49479704991341145
6,1000,2.1,1000,0.05,0.3007528242702513
7,10000,3.525,1000,0.05,0.6092874163963132
8,100000,10.53,1000,0.05,1.3334128954486466
9,1000000,52.36,1000,0.05,4.413364809838817
10,100,1.405,1000,0.1,0.5111569299492826
11,1000,2.255,1000,0.1,0.4483078177965308
12,10000,4.535,1000,0.1,0.6790290141150451
13,100000,16.305,1000,0.1,2.050119496455937
14,1000000,101.725,1000,0.1,6.209036614354273
15,100,1.8499999999999996,1000,0.5,0.37174044005713086
16,1000,3.59,1000,0.5,0.6664237413351023
17,10000,10.835,1000,0.5,1.496318765920628
18,100000,59.02,1000,0.5,4.205715183058052
19,1000000,503.99,1000,0.5,16.592663511686734
20,100,2.0399999999999996,1000,1.0,0.3887875755402587
21,1000,4.59,1000,1.0,0.7172672875637403
22,10000,11.605,1000,1.0,1.4067229104317838
23,100000,33.66,1000,1.0,4.103485465409147
24,1000000,104.065,1000,1.0,11.190033927405333
