,nBalls,meanGap,nBins,beta,std
0,10,1.02,1000,0.25,0.17067257872642908
1,100,1.9639999999999995,1000,0.25,0.32250272558229337
2,1000,3.984,1000,0.25,0.6724553488494209
3,10000,8.724,1000,0.25,1.2527543228396354
4,100000,13.812,1000,0.25,2.2600362306307753
5,1000000,13.888,1000,0.25,2.2992917915616413
0,10,1.01,1000,0.5,0.1400700525437883
1,100,1.8729999999999996,1000,0.5,0.32307178053085256
2,1000,3.413,1000,0.5,0.5751189109756014
3,10000,5.904,1000,0.5,0.9537786397763863
4,100000,6.444,1000,0.5,1.1207676476951502
5,1000000,6.425,1000,0.5,1.0244141859738298
0,10,1.0,1000,0.75,0.0995485304256668
1,100,1.7089999999999996,1000,0.75,0.4203518712884429
2,1000,2.802,1000,0.75,0.5148408113786833
3,10000,3.742,1000,0.75,0.6479628506757589
4,100000,3.778,1000,0.75,0.6364912576941817
5,1000000,3.784,1000,0.75,0.644794354627706
