,nBalls,meanGap,nBins,queries
0,100,1.29399,101,1
1,1000,2.9289000000000005,101,1
2,10000,5.382009899999999,101,1
3,100000,6.414099999999999,101,1
4,100,1.30299,101,2
5,1000,2.7559000000000005,101,2
6,10000,3.45501,101,2
7,100000,3.4250999999999996,101,2
0,100,1.04001,1001,1
1,1000,2.0350999999999995,1001,1
2,10000,4.200999999999999,1001,1
3,100000,7.96499135,1001,1
4,1000000,9.7899,1001,1
5,10000000,9.7890145,1001,1
6,100,1.01001,1001,2
7,1000,2.0450999999999997,1001,2
8,10000,3.901,1001,2
9,100000,5.279990050000001,1001,2
10,1000000,5.3349,1001,2
11,10000000,5.23902,1001,2
0,100,1.00166801,3001,1
1,1000,1.77167957,3001,1
2,10000,3.5117800000000003,3001,1
3,100000,6.502780099999998,3001,1
4,1000000,10.747788600000002,3001,1
5,10000000,11.282713999999999,3001,1
6,100,1.00666802,3001,2
7,1000,1.8116796400000001,3001,2
8,10000,3.4517800000000007,3001,2
9,100000,5.17278,3001,2
10,1000000,5.93777,3001,2
11,10000000,5.91774,3001,2
