,nBalls,meanGap,nBins,queries,std
0,10,1.00166801,3001,1,0.07071081954001097
1,100,1.77167957,3001,1,0.4449331634079168
2,1000,3.5117800000000003,3001,1,0.5314009170799077
3,10000,6.502780099999998,3001,1,0.9065788764903375
4,100000,10.747788600000002,3001,1,1.6458066392138662
5,1000000,11.282713999999999,3001,1,1.933550503117134
6,10,1.00666802,3001,2,0.0997486267712662
7,100,1.8116796400000001,3001,2,0.4264798161325253
8,1000,3.4517800000000007,3001,2,0.5835044018125941
9,10000,5.17278,3001,2,0.7298206567059977
10,100000,5.93777,3001,2,0.87534630620052
11,1000000,5.91774,3001,2,1.0077089792865168
